dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
554,bo_div,600,3600,25,0.025,0.2,5093.757691827,4,0.10510714285714284,0.8948928571428572,0.8559825897543386,0.0720087051228307,0.26701955239122777,0.3664902238043862,0.4681785714285714,0.9442195514846172,0.9968196615718056,0.9967803101382864,0.9448571428571428,0.9441730232951885
554,bo_div,600,3600,25,0.025,0.2,5192.017535339,3,0.3325476190476191,0.667452380952381,0.5563665897339339,0.22181670513303306,0.13966272675821537,0.4301686366208923,0.5683809523809523,0.883716887614634,0.9894872176018169,0.9893172511610252,0.8857857142857143,0.8837755344807675
554,bo_div,600,3600,25,0.025,0.2,3682.841872595,4,0.030011904761904764,0.9699880952380951,0.9244373424988609,0.03778132875056961,0.42084433610594946,0.28957783194702524,0.0759047619047619,0.9697753507489834,0.99830895343461,0.9982929992038052,0.9700714285714286,0.969590406608145
1005,bo_div,600,3600,25,0.025,0.2,3626.141742885,22,0.11718514044095431,0.8828148595590464,0.5657224701005354,0.21713876494973242,0.3110955595522474,0.34445222022387617,0.2645726366656596,0.7881773399014778,0.7797619047619048,0.7797619047619048,0.813953488372093,0.7797619047619048
1005,bo_div,600,3600,25,0.025,0.2,3626.445834881,24,0.1136670037074483,0.8863329962925506,0.6768480304252253,0.16157598478738702,0.3749931735673602,0.3125034132163198,0.22615436467812575,0.7881773399014778,0.7797619047619048,0.7797619047619048,0.813953488372093,0.7797619047619048
1005,bo_div,600,3600,25,0.025,0.2,3622.305819302,21,0.14540420819490574,0.8545957918050943,0.5647815105949658,0.21760924470251716,0.36832665881666615,0.31583667059166676,0.26511627906976715,0.7952380952380952,0.7952380952380953,0.7952380952380953,0.813953488372093,0.7952380952380952
1005,bo_div,600,3600,25,0.025,0.2,3609.771562298,17,0.1562927496580027,0.8437072503419971,0.6037907830398088,0.19810460848009548,0.3426454309501827,0.32867728452490863,0.27838577291381655,0.7030759573132455,0.6952380952380952,0.6952380952380952,0.7441860465116279,0.6952380952380952
1005,bo_div,600,3600,25,0.025,0.2,3618.511193137,22,0.12997080438940883,0.8700291956105912,0.4539541141549791,0.27302294292251045,0.25365248731608636,0.3731737563419568,0.3087687506292155,0.8650345260514751,0.8488095238095238,0.8488095238095238,0.8837209302325582,0.8488095238095238
1067,bo_div,600,3600,25,0.025,0.2,3609.140910369,21,0.12767998194538482,0.8723200180546152,0.965623361776225,0.017188319111887684,0.7182614819970512,0.14086925900147465,0.07887610020311439,0.6406063702946687,0.6195432018961431,0.6195432018961431,0.8459715639810427,0.6195432018961431
1067,bo_div,600,3600,25,0.025,0.2,3605.647288114,6,0.11263823064770932,0.8873617693522907,0.16835404717083563,0.41582297641458227,0.07281303873853381,0.46359348063073313,0.4390205371248025,0.6666258692628652,0.6614738202973498,0.6614738202973498,0.8317535545023697,0.6614738202973497
1067,bo_div,600,3600,25,0.025,0.2,3607.233952444,18,0.114115788495493,0.8858842115045064,0.8852323033704217,0.05738384831478908,0.614828239187051,0.19258588040647467,0.11431713285630206,0.6464978413557575,0.6258349493643611,0.6258349493643611,0.8459715639810427,0.6258349493643611
1067,bo_div,600,3600,25,0.025,0.2,3606.50230715,7,0.11724215752651772,0.8827578424734823,0.2830667418073736,0.3584666290963132,0.1342064069318078,0.4328967965340962,0.4005867749943579,0.6389184666869486,0.6600301659125188,0.6600301659125188,0.7867298578199052,0.6600301659125188
1067,bo_div,600,3600,25,0.025,0.2,3605.57107795,4,0.0872827804107425,0.9127172195892576,0.21157065280319265,0.3942146735984036,0.19636582019716112,0.40181708990141946,0.3135860979462875,0.6482988528287087,0.7124326653738418,0.7124326653738418,0.7582938388625592,0.7124326653738419
1461,bo_div,600,3600,25,0.025,0.2,3614.972650959,5,0.07148070330642486,0.9285192966935751,0.18550885830458358,0.4072455708477083,0.11359376642236522,0.4432031167888174,0.41592391905341153,0.7215480169865962,0.7961645358203533,0.7961645358203533,0.8507132588742674,0.7961645358203532
